,red,green,blue,civ
0,255.0,255.0,255.0,America
1,146.0,221.0,10.0,Arabia
2,137.0,239.0,213.0,The Aztecs
3,255.0,255.0,255.0,China
4,83.0,0.0,208.0,Egypt
5,255.0,255.0,255.0,England
6,235.0,235.0,139.0,France
7,37.0,43.0,33.0,Germany
8,65.0,141.0,254.0,Greece
9,255.0,153.0,50.0,India
10,252.0,202.0,129.0,The Iroquois
11,184.0,0.0,0.0,Japan
12,18.0,82.0,30.0,The Ottomans
13,245.0,230.0,55.0,Persia
14,240.0,199.0,0.0,Rome
15,0.0,0.0,0.0,Russia
16,177.0,8.0,3.0,Siam
17,90.0,0.0,10.0,Songhai
18,0.0,0.0,0.0,City State
19,184.0,0.0,0.0,Barbarians
20,255.0,120.0,0.0,Mongolia
21,7.0,160.0,119.0,The Inca
22,255.0,168.0,168.0,Spain
23,255.0,255.0,75.0,Polynesia
24,240.0,231.0,180.0,Denmark
25,255.0,0.0,0.0,Korea
26,201.0,248.0,255.0,Babylon
27,255.0,255.0,255.0,Austria
28,61.0,0.0,109.0,Byzantium
29,81.0,0.0,137.0,Carthage
30,148.0,170.0,255.0,The Celts
31,255.0,46.0,46.0,Ethiopia
32,70.0,0.0,4.0,The Huns
33,24.0,63.0,66.0,The Maya
34,255.0,255.0,255.0,The Netherlands
35,249.0,247.0,3.0,Sweden
36,255.0,169.0,13.0,Assyria
37,42.0,84.0,45.0,Brazil
38,159.0,47.0,29.0,Indonesia
39,40.0,179.0,80.0,Morocco
40,57.0,0.0,0.0,Poland
41,4.0,20.0,125.0,Portugal
42,25.0,240.0,206.0,The Shoshone
43,255.0,254.0,216.0,Venice
44,107.0,50.0,25.0,The Zulus
